nombre_curso,price(USD),cant_suscriptores,cant_opiniones,cant_lecciones,nivel,valoracion,duracion_curso,categoria,Free/Paid,fecha_curso,año
Beginner to Pro in PowerPoint: Complete PowerPoint Training,150.0,5786,518,50,Mixto,3.15,5.0,Negocios y Finanzas,Paid,2015-01-31,2015
How I Trade Forex Successfully,0.0,5768,109,12,Mixto,0.25,1.5,Negocios y Finanzas,Free,2015-11-13,2015
FastTrack to Stock Trading Strategies,25.0,5685,5,12,Intermedio,0.7000000000000001,3.5,Negocios y Finanzas,Paid,2014-08-05,2014
"Silver, Gold, and Inflation",0.0,5597,76,11,Mixto,3.9000000000000004,1.0,Negocios y Finanzas,Free,2013-02-16,2013
Learn Accounting. Understand Business.,200.0,5572,123,33,Mixto,0.8500000000000001,5.5,Negocios y Finanzas,Paid,2014-03-27,2014
Day Trading Market Structure Signals,0.0,5529,90,5,Principiante,4.2,2.0,Negocios y Finanzas,Free,2014-06-18,2014
"Forex Strategies: Kelly Criterion, Larry Williams and more!",185.0,5528,506,32,Mixto,1.0,3.0,Negocios y Finanzas,Paid,2015-02-19,2015
Learn to Trade Forex Naked Price Action Big Shadow Trade,0.0,5407,192,11,Mixto,1.1,1.0,Negocios y Finanzas,Free,2016-01-25,2016
7 Deadly Mistakes of Investing that Will Slash Your Profits!,50.0,5354,24,23,Principiante,2.75,1.5,Negocios y Finanzas,Paid,2015-09-21,2015
Investing 101: The Complete Online Investing Course,200.0,5334,373,42,Principiante,3.9000000000000004,4.5,Negocios y Finanzas,Paid,2014-11-28,2014
Options Trading 3 : Advanced Stock Profit and Success Method,195.0,5172,34,38,Mixto,4.6000000000000005,2.5,Negocios y Finanzas,Paid,2015-05-28,2015
Learn How to Trade Binary Options Professionally,0.0,5144,169,7,Mixto,0.55,1.0,Negocios y Finanzas,Free,2017-02-03,2017
Statistics - Measures of Dispersion for CA / CS / CFA exams,20.0,5108,9,13,Mixto,3.5999999999999996,1.0,Negocios y Finanzas,Paid,2015-09-14,2015
Small Business Owners: Drive a Productive Business and Grow,20.0,5099,2,15,Mixto,4.95,3.0,Negocios y Finanzas,Paid,2015-01-20,2015
Trading for Beginners - Entry Level,0.0,5077,256,16,Mixto,2.75,1.5,Negocios y Finanzas,Free,2016-10-03,2016
Financial Model Basics: Build a model from start to finish,30.0,5057,142,13,Mixto,1.5,1.0,Negocios y Finanzas,Paid,2015-02-06,2015
How to Win 97% of Your Options Trades,125.0,5050,461,26,Intermedio,1.9,1.5,Negocios y Finanzas,Paid,2015-02-10,2015
Crash Course on Cost of Capital and Capital Structuring,0.0,5007,41,19,Mixto,1.35,3.0,Negocios y Finanzas,Free,2015-04-13,2015
Financial Modeling for Startups & Small Businesses,195.0,4991,137,79,Mixto,0.8999999999999999,11.5,Negocios y Finanzas,Paid,2017-03-29,2017
Budgeting Hacks to Build Wealth!,0.0,4931,154,7,Intermedio,0.7000000000000001,0.5333333333,Negocios y Finanzas,Free,2016-05-31,2016
