nombre_curso,nivel_del_curso,horas_dedicadas,duracion_del_curso(Semanas),lenguaje,precio(USD),organizacion,cant_estudiantes
Data Science: Wrangling,Principiante,1–2 hours per week,8,Ingles,49.0,Harvard University,64584
A Hands-on Introduction to Engineering Simulations,Intermedio,4–6 hours per week,6,Ingles,199.0,Cornell University,187138
AI for Everyone: Master the Basics,Principiante,1–2 hours per week,4,Ingles,49.0,IBM,49340
The Psychology of Criminal Justice,Principiante,1–2 hours per week,8,Ingles,99.0,The University of Queensland,110086
Machine Learning with Python: A Practical Introduction,Principiante,4–6 hours per week,5,Ingles,39.0,IBM,80161
Analyzing Data with Python,Principiante,2–4 hours per week,5,Ingles,39.0,IBM,94079
Excel: gestión de datos,Intermedio,4–6 hours per week,6,Español,75.0,Universitat Politècnica de Valencia,111785
Probability - The Science of Uncertainty and Data,Avanzado,10–14 hours per week,16,Ingles,300.0,Massachusetts Institute of Technology,205615
"Fundamentals of Neuroscience, Part 3: The Brain",Principiante,3–5 hours per week,8,Ingles,99.0,Harvard University,85034
Sikhism Through Its Scriptures,Principiante,5–10 hours per week,4,Ingles,99.0,Harvard University,44125
Upper-Intermediate English: Business and Modern Life,Intermedio,3–5 hours per week,4,Ingles,50.0,Universitat Politècnica de Valencia,77991
Religious Literacy: Traditions and Scriptures,Principiante,5–10 hours per week,4,Ingles,99.0,Harvard University,96972
Programación para todos (empezando con Python),Principiante,2–4 hours per week,7,Español,49.0,The University of Michigan,81004
Analyzing and Visualizing Data with Power BI,Principiante,10–20 hours per week,4,Ingles,99.0,Davidson College,28879
High-Dimensional Data Analysis,Avanzado,2–4 hours per week,4,Ingles,149.0,Harvard University,78443
Introduction To Music Theory,Principiante,3–5 hours per week,6,Ingles,49.0,Berklee College of Music,67029
Human Anatomy,Principiante,2–4 hours per week,8,Ingles,139.0,The Hong Kong Polytechnic University,126850
"CitiesX: The Past, Present and Future of Urban Life",Principiante,5–7 hours per week,11,Ingles,99.0,Harvard University,76874
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,Principiante,1–2 hours per week,13,Ingles,99.0,Harvard University,24208
Entrepreneurship 101: Who is your customer?,Principiante,2–4 hours per week,10,Ingles,49.0,Massachusetts Institute of Technology,41838
"U.S. Public Policy: Social, Economic, and Foreign Policies",Principiante,2–4 hours per week,4,Ingles,49.0,Harvard University,44045
Machine Learning with Python: from Linear Models to Deep Learning,Avanzado,10–14 hours per week,15,Ingles,300.0,Massachusetts Institute of Technology,85561
Introduction to Data Science,Principiante,3–6 hours per week,6,Ingles,39.0,IBM,43766
Circuits and Electronics 1: Basic Circuit Analysis,Principiante,5–7 hours per week,5,Ingles,169.0,Massachusetts Institute of Technology,52639
Introduction to Investments,Intermedio,3–5 hours per week,5,Ingles,50.0,Indian Institute of Management Bangalore,91788
Improving Your Business Through a Culture of Health,Principiante,1–3 hours per week,9,Ingles,99.0,Harvard University,54136
Introduction to Linear Models and Matrix Algebra,Intermedio,2–4 hours per week,4,Ingles,149.0,Harvard University,92004
DO Your Venture: Entrepreneurship For Everyone,Principiante,3–4 hours per week,6,Ingles,150.0,Indian Institute of Management Bangalore,61989
El valor de la creatividad y la innovación: La Economía Naranja,Principiante,2–4 hours per week,8,Español,25.0,Inter-American Development Bank,23728
Humanitarian Response to Conflict and Disaster,Principiante,3–4 hours per week,5,Ingles,99.0,Harvard University,119891
"Women Making History: Ten Objects, Many Stories",Principiante,2–3 hours per week,8,Ingles,99.0,Harvard University,38939
Masterpieces of World Literature,Principiante,5–7 hours per week,12,Ingles,149.0,Harvard University,88789
SQL for Data Science,Principiante,2–4 hours per week,4,Ingles,39.0,IBM,39184
El cerebro y las emociones en el lenguaje,Principiante,4–5 hours per week,5,Español,49.0,Universidad del Rosario,41279
Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),Principiante,2–3 hours per week,16,Ingles,169.0,Harvard University,62673
Python: aprender a programar,Principiante,3–4 hours per week,8,Español,49.0,Universitat Politècnica de Valencia,21613
Marketing Analytics: Competitive Analysis and Market Segmentation,Intermedio,5–7 hours per week,4,Ingles,249.0,"University of California, Berkeley",70682
MalariaX: Defeating Malaria from the Genes to the Globe,Intermedio,3–5 hours per week,8,Ingles,49.0,Harvard University,37598
Entrepreneurship in Emerging Economies,Principiante,3–5 hours per week,6,Ingles,125.0,Harvard University,113602
JavaScript Introduction,Principiante,6–8 hours per week,5,Ingles,199.0,The World Wide Web Consortium (W3C),160112
People Management,Principiante,2–4 hours per week,6,Ingles,150.0,Indian Institute of Management Bangalore,113592
Using Email for Networking in English,Principiante,3–5 hours per week,4,Ingles,149.0,University of Washington,57208
Databases: Relational Databases and SQL,Principiante,8–10 hours per week,2,Ingles,50.0,Stanford University,20502
C Programming: Getting Started,Principiante,2–4 hours per week,7,Ingles,49.0,Dartmouth_IMTx-Dartmouth College-IMT,104108
Supply Chain Analytics,Principiante,8–12 hours per week,15,Ingles,199.0,Massachusetts Institute of Technology,145049
Programming for the Web with JavaScript,Intermedio,6–8 hours per week,4,Ingles,149.0,University of Pennsylvania,91406
Introduction to Digital Humanities,Principiante,2–4 hours per week,7,Ingles,99.0,Harvard University,37501
Upper-Intermediate English: Business and Industry,Intermedio,3–5 hours per week,4,Ingles,50.0,Universitat Politècnica de Valencia,103704
EmSAT English Preparation - Level 1,Principiante,2–3 hours per week,6,Ingles,49.0,United Arab Emirates University,29101
Python for Data Science,Avanzado,8–10 hours per week,10,Ingles,350.0,"The University of California, San Diego",266978
Empathy and Emotional Intelligence at Work,Principiante,1–2 hours per week,4,Ingles,199.0,"University of California, Berkeley",45867
Design Thinking and Creativity for Innovation,Intermedio,8–10 hours per week,10,Ingles,5.0,The University of Queensland,47549
China and Communism,Principiante,1–3 hours per week,15,Ingles,139.0,Harvard University,69104
Mandarin Chinese Level 1,Principiante,4–10 hours per week,6,Ingles,149.0,MandarinX,56040
Introduction to Biology - The Secret of Life,Principiante,5–10 hours per week,16,Ingles,150.0,Massachusetts Institute of Technology,147512
Photoshop: una herramienta para presentaciones innovadoras,Principiante,8–10 hours per week,5,Español,19.0,Pontificia Universidad Javeriana,22969
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,Principiante,2–3 hours per week,9,Ingles,99.0,Harvard University,50949
生活英语听说 | Conversational English Skills,Principiante,2–4 hours per week,10,Ingles,49.0,Tsinghua University,301585
Shakespeare’s Othello: The Moor,Principiante,5–7 hours per week,4,Ingles,49.0,Harvard University,31868
Basic Spanish 2: One Step Further,Principiante,4–5 hours per week,4,Ingles,50.0,Universitat Politècnica de Valencia,67687
Financial Market Analysis,Intermedio,8–10 hours per week,7,Ingles,25.0,The International Monetary Fund,37452
CS50's Computer Science for Business Professionals,Principiante,2–6 hours per week,6,Ingles,90.0,Harvard University,73208
Gobierno Digital,Principiante,1–2 hours per week,8,Español,25.0,Inter-American Development Bank,18883
Upper-Intermediate English: Business and Globalization,Intermedio,3–5 hours per week,4,Ingles,50.0,Universitat Politècnica de Valencia,58532
The Opioid Crisis in America,Principiante,1–2 hours per week,10,Ingles,99.0,Harvard University,54805
Gestión de Proyectos de Desarrollo,Principiante,3–4 hours per week,10,Español,49.0,Inter-American Development Bank,306286
Statistical Learning,Principiante,3–5 hours per week,9,Ingles,50.0,Stanford University,27968
Introduction to Social Psychology,Principiante,1–2 hours per week,7,Ingles,99.0,The University of Queensland,79365
Artificial Intelligence (AI),Avanzado,8–10 hours per week,12,Ingles,249.0,Columbia University,265104
American Government: Constitutional Foundations,Principiante,2–4 hours per week,4,Ingles,49.0,Harvard University,35504
Introducción a la inversión bursátil,Principiante,3–4 hours per week,2,Español,50.0,Universitat Politècnica de Valencia,64261
Japanese Books: From Manuscript to Print,Principiante,1–2 hours per week,9,Ingles,100.0,Harvard University,17581
Foundations of Modern Finance  I,Avanzado,10–14 hours per week,12,Ingles,450.0,Massachusetts Institute of Technology,24108
Operations Management,Intermedio,2–4 hours per week,7,Ingles,150.0,Indian Institute of Management Bangalore,126093
Marketing Management,Intermedio,2–4 hours per week,9,Ingles,150.0,Indian Institute of Management Bangalore,80010
Marketing enfocado en la estrategia de servicios,Principiante,5–7 hours per week,6,Español,119.0,Universidad Nacional de Córdoba,24618
Introduction to Marketing,Principiante,3–5 hours per week,6,Ingles,150.0,University of British Columbia,169126
Programming Basics,Principiante,6–8 hours per week,9,Ingles,149.0,IITBombay,215059
Probability and Statistics in Data Science using Python,Avanzado,10–12 hours per week,10,Ingles,350.0,"The University of California, San Diego",106286
HTML5 Coding Essentials and Best Practices,Intermedio,6–8 hours per week,6,Ingles,199.0,The World Wide Web Consortium (W3C),241287
First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,Principiante,3–5 hours per week,3,Ingles,49.0,Harvard University,37426
Cell Biology: Mitochondria,Principiante,2–4 hours per week,4,Ingles,99.0,Harvard University,64142
"Algorithms: Design and Analysis, Part 1",Intermedio,2–4 hours per week,6,Ingles,149.0,Stanford University,20163
Introducción al Office 365,Principiante,2–3 hours per week,7,Español,75.0,Universitat Politècnica de Valencia,16470
Creative Thinking: Techniques and Tools for Success,Principiante,2–4 hours per week,7,Ingles,49.0,Imperial College London,54787
Upper-Intermediate English: Business and Technology,Intermedio,3–5 hours per week,4,Ingles,50.0,Universitat Politècnica de Valencia,47451
Shakespeare's Hamlet: The Ghost,Principiante,5–7 hours per week,4,Ingles,49.0,Harvard University,38331
FlashDiet: Aprende a comer sano,Principiante,2–3 hours per week,5,Español,50.0,Universitat Politècnica de Valencia,48105
CS50's Understanding Technology,Principiante,2–6 hours per week,6,Ingles,90.0,Harvard University,50030
Introduction to Aerospace Structures and Materials,Principiante,4–6 hours per week,8,Ingles,50.0,Delft University of Technology,37126
Visualizing Data with Python,Intermedio,2–4 hours per week,5,Ingles,39.0,IBM,42101
Success: Practical Thinking Skills,Principiante,4–6 hours per week,4,Ingles,50.0,The Hong Kong Polytechnic University,24414
English for Doing Business in Asia – Speaking,Principiante,3–4 hours per week,7,Ingles,60.0,The Hong Kong University of Science and Technology,68422
Nutrition and Health: Macronutrients and Overnutrition,Principiante,6–8 hours per week,9,Ingles,99.0,Wageningen University & Research,208582
"Contemporary China: The People's Republic, Taiwan, and Hong Kong",Principiante,1–3 hours per week,15,Ingles,139.0,Harvard University,66771
Introduction to Clinical Psychology,Principiante,1–2 hours per week,7,Ingles,99.0,The University of Queensland,57234
Modern Masterpieces of World Literature,Principiante,3–6 hours per week,8,Ingles,99.0,Harvard University,48049
"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",Principiante,2–4 hours per week,4,Ingles,49.0,Harvard University,24259
Applied Scrum for Agile Project Management,Avanzado,2–3 hours per week,4,Ingles,199.0,"The University of Maryland, College Park-University System of Maryland",55293
Corporate Finance,Intermedio,3–5 hours per week,5,Ingles,150.0,Indian Institute of Management Bangalore,62798
Judaism Through Its Scriptures,Principiante,5–10 hours per week,4,Ingles,99.0,Harvard University,50540
Excel avanzado: importación y análisis de datos,Avanzado,3–4 hours per week,8,Español,75.0,Universitat Politècnica de Valencia,47184
CSS Basics,Principiante,5–7 hours per week,5,Ingles,199.0,The World Wide Web Consortium (W3C),95163
Unlocking Information Security: Part I,Intermedio,4–6 hours per week,6,Ingles,149.0,IsraelX-Tel Aviv University,19905
Becoming an Effective Leader,Intermedio,8–10 hours per week,10,Ingles,99.0,The University of Queensland,55937
Digital Branding and Engagement,Intermedio,3–4 hours per week,4,Ingles,99.0,Curtin University,122977
Introduction to Cybersecurity,Principiante,2–5 hours per week,6,Ingles,199.0,University of Washington,73021
General Academic English|生活英语进阶,Principiante,3–4 hours per week,8,Ingles,49.0,Tsinghua University,17526
Gestión de personas: Recursos Humanos,Principiante,5–7 hours per week,5,Español,119.0,Universidad Nacional de Córdoba,19687
From Poverty to Prosperity: Understanding Economic Development,Intermedio,2–3 hours per week,6,Ingles,149.0,University of Oxford,91062
Medical Terminology,Principiante,5–10 hours per week,8,Ingles,79.0,Doane University,31354
Ancient Masterpieces of World Literature,Principiante,3–6 hours per week,6,Ingles,99.0,Harvard University,48899
Shakespeare's The Merchant of Venice: Shylock,Principiante,5–7 hours per week,4,Ingles,49.0,Harvard University,23283
Gestión del estrés y Mindfulness,Principiante,4–5 hours per week,4,Español,49.0,Universidades Anáhuac,15965
Behavioural Economics in Action,Principiante,4–5 hours per week,6,Ingles,139.0,University of Toronto,66764
Finance for Everyone: Smart Tools for Decision-Making,Principiante,5–6 hours per week,6,Ingles,49.0,The University of Michigan,45029
Creating Innovative Business Models,Principiante,2–3 hours per week,4,Ingles,149.0,"University System of Maryland-The University of Maryland, College Park",12227
u.lab: Leading From the Emerging Future,Principiante,4–6 hours per week,14,Ingles,99.0,Massachusetts Institute of Technology,79424
Electric Cars: Introduction,Intermedio,4–5 hours per week,4,Ingles,50.0,Delft University of Technology,56171
Inteligencia Artificial para todos: Domina los fundamentos,Principiante,1–2 hours per week,4,Español,49.0,IBM,11764
Marketing Analytics,Avanzado,8–10 hours per week,12,Ingles,249.0,Columbia University,55228
