nombre_curso,nivel_del_curso,horas_dedicadas,duracion_del_curso(Semanas),lenguaje,precio(USD),organizacion,cant_estudiantes
Circuits and Electronics 3:Applications…,Intermedio,8–10 hours per week,7,Ingles,169.0,Massachusetts Institute of Technology,9917
Introducción a lastecnologías para laEducación…,Principiante,3–4 hours per week,5,Español,49.0,Universitat Politècnica de Valencia,31975
Introduction to theInternet of Things…,Principiante,5–6 hours per week,6,Ingles,50.0,Universitat Politècnica de Valencia,7871
Digital Security andHuman Rights…,Principiante,1–2 hours per week,3,Ingles,49.0,Amnesty International,12043
Data Science: MachineLearning and Predictions…,Principiante,4–6 hours per week,6,Ingles,199.0,"University of California, Berkeley",22533
Migrating to the AWSCloud…,Intermedio,2–4 hours per week,4,Ingles,49.0,Amazon Web Services,45365
C Programming: ModularProgramming andMemory Management…,Principiante,2–4 hours per week,7,Ingles,49.0,"Dartmouth_IMTx, Dartmouth College, IMT",19371
Automata Theory…,Avanzado,5–10 hours per week,7,Ingles,129.0,Stanford University,5176
Introduction toProgramming in C++…,Intermedio,6–8 hours per week,8,Ingles,332.0,New York University,45365
Microsoft ServiceAdoption Specialist…,Principiante,2–4 hours per week,4,Ingles,99.0,Microsoft,22280
Algorithm Design andAnalysis…,Intermedio,6–8 hours per week,4,Ingles,149.0,University of Pennsylvania,39653
Introduction to Watson AI…,Principiante,4–8 hours per week,8,Ingles,49.0,IBM,5334
AWS: Getting Startedwith Cloud Security…,Principiante,2–4 hours per week,4,Ingles,49.0,Amazon Web Services,8828
El método de ciencia dedatos…,Principiante,3–7 hours per week,7,Español,39.0,IBM,45365
Databases: Modeling andTheory…,Principiante,8–10 hours per week,2,Ingles,50.0,Stanford University,45365
Introducción a laprogramación en C: Tiposde datos y estructuras…,Principiante,2–4 hours per week,4,Español,29.0,Universidad Autónoma de Madrid,13940
AchievingProduct-Market Fit…,Principiante,2–3 hours per week,4,Ingles,199.0,"The University of Maryland, College Park, University System of Maryland",45365
Agile SoftwareDevelopment…,Principiante,2–3 hours per week,6,Ingles,50.0,ETH Zurich,37483
Marketing Analytics:Price and PromotionAnalytics…,Intermedio,5–7 hours per week,4,Ingles,249.0,"University of California, Berkeley",41548
Buscar en Internet…,Principiante,3–4 hours per week,7,Español,49.0,Universitat Politècnica de Valencia,27636
C Programming: Pointersand MemoryManagement…,Principiante,2–4 hours per week,7,Ingles,49.0,"Dartmouth_IMTx, Dartmouth College, IMT",19838
Mining Massive Datasets…,Avanzado,5–10 hours per week,7,Ingles,149.0,Stanford University,5882
PyTorch Basics forMachine Learning…,Principiante,4–5 hours per week,5,Ingles,39.0,IBM,45365
Introduction to JavaProgramming – Part 2…,Principiante,3–5 hours per week,5,Ingles,99.0,The Hong Kong University of Science and Technology,71349
Think. Create. Code…,Principiante,2–3 hours per week,6,Ingles,50.0,University of Adelaide,53040
Análisis de datos: Diseñoy Visualización deTableros…,Intermedio,4–6 hours per week,8,Español,49.0,Delft University of Technology,18800
Herramientas para elAnálisis de Big Data…,Intermedio,3–5 hours per week,4,Español,49.0,Tecnológico de Monterrey,8454
Visualización de Datos yStorytelling…,Intermedio,3–5 hours per week,4,Español,49.0,Tecnológico de Monterrey,6415
"Algorithms: Design andAnalysis, Part 2…",Intermedio,2–4 hours per week,6,Ingles,149.0,Stanford University,45365
Introducción a la robóticae industria 4.0…,Principiante,4–5 hours per week,3,Español,49.0,Universidades Anáhuac,7599
Music TechnologyFoundations…,Principiante,2–3 hours per week,6,Ingles,169.0,University of Adelaide,35039
Introducción al desarrollode videojuegos con Unity…,Intermedio,3–4 hours per week,6,Español,50.0,Universitat Politècnica de Valencia,27948
Introduction toHyperledger BlockchainTechnologies…,Principiante,2–4 hours per week,10,Ingles,199.0,The Linux Foundation,139372
C Programming:Advanced Data Types…,Intermedio,4–5 hours per week,7,Ingles,49.0,"Dartmouth_IMTx, Dartmouth College, IMT",17338
IoT System Design:Software and HardwareIntegration…,Intermedio,4–6 hours per week,4,Ingles,99.0,Waseda University,13802
"Data Ethics, AI andResponsible Innovation…",Intermedio,2–3 hours per week,7,Ingles,49.0,The University of Edinburgh,45365
Strategic Applications ofIT Project & ProgramManagement…,Principiante,2–5 hours per week,6,Ingles,199.0,University of Washington,18414
Introduction to Serverlesson Kubernetes…,Principiante,2–3 hours per week,7,Ingles,199.0,The Linux Foundation,45365
Introducción a laInteligencia Artificial:Principales Algoritmos…,Principiante,4–5 hours per week,4,Español,49.0,Universidad Galileo,45365
Introducción a laInteligencia Artificial…,Principiante,4–5 hours per week,4,Español,49.0,Universidades Anáhuac,11576
Building ContainerizedApplications on AWS…,Intermedio,2–4 hours per week,5,Ingles,99.0,Amazon Web Services,6512
Introduction to OpenSource NetworkingTechnologies…,Principiante,3–4 hours per week,14,Ingles,199.0,The Linux Foundation,17851
"Automated SoftwareTesting: Unit Testing,Coverage Criteria and D……",Intermedio,3–5 hours per week,5,Ingles,99.0,Delft University of Technology,13057
Introduction to UserExperience…,Intermedio,6–9 hours per week,4,Ingles,200.0,HEC Montréal,45365
Diagramas UMLestructurales para laIngeniería del Software…,Principiante,3–4 hours per week,5,Español,50.0,Universitat Politècnica de Valencia,6277
Cybersecurity: The CISO'sView…,Principiante,2–5 hours per week,6,Ingles,199.0,University of Washington,21898
Deep Learning Essentials…,Intermedio,4–6 hours per week,5,Ingles,149.0,Université de Montréal,5334
AWS IoT: Developing andDeploying an Internet ofThings…,Intermedio,2–5 hours per week,4,Ingles,99.0,Amazon Web Services,9355
AI Applications withWatson…,Intermedio,2–4 hours per week,3,Ingles,99.0,IBM,9421
Introduction to JavaProgramming: WritingGood Code…,Principiante,5–7 hours per week,5,Ingles,149.0,Universidad Carlos III de Madrid,51914
Information Security -Introduction toInformation Security…,Intermedio,8–10 hours per week,5,Ingles,166.0,New York University,45365
Implementation of DataStructures…,Intermedio,6–8 hours per week,6,Ingles,149.0,IITBombay,27989
Embedded Systems -Shape The World:Multi-Threaded Interfac……,Intermedio,8–10 hours per week,8,Ingles,49.0,The University of Texas at Austin,28208
UML Class Diagrams forSoftware Engineering…,Principiante,4–5 hours per week,3,Ingles,49.0,KU Leuven,34503
AWS Developer:Deploying on AWS…,Avanzado,3–4 hours per week,6,Ingles,149.0,Amazon Web Services,25619
Leadership andManagement for PMPractitioners in IT…,Principiante,2–5 hours per week,6,Ingles,199.0,University of Washington,22265
Aprendizaje automático yciencia de datos…,Intermedio,4–5 hours per week,5,Español,50.0,Universitat Politècnica de Valencia,14449
Amazon SageMaker:Simplifying MachineLearning Application De……,Intermedio,2–4 hours per week,4,Ingles,99.0,Amazon Web Services,12172
Fundamentos TIC paraprofesionales denegocios: Cibersegurida……,Principiante,3–4 hours per week,3,Español,75.0,Universitat Politècnica de Valencia,5150
Modelos predictivos conMachine Learning…,Intermedio,6–8 hours per week,4,Español,49.0,Universidades Anáhuac,5370
C Programming: UsingLinux Tools and Libraries…,Intermedio,4–5 hours per week,7,Ingles,49.0,"Dartmouth_IMTx, Dartmouth College, IMT",14392
"Portfolio Management,Governance, & the PMO…",Principiante,2–5 hours per week,6,Ingles,199.0,University of Washington,17705
Health Informatics forbetter and saferhealthcare…,Principiante,3–4 hours per week,4,Ingles,49.0,IsraelX,45365
Data Science: InferentialThinking throughSimulations…,Principiante,4–6 hours per week,5,Ingles,199.0,"University of California, Berkeley",17913
Building a CybersecurityToolkit…,Principiante,2–5 hours per week,6,Ingles,199.0,University of Washington,23627
How to Code: ComplexData…,Principiante,2–3 hours per week,6,Ingles,125.0,University of British Columbia,34584
IoT Networks andProtocols…,Principiante,4–6 hours per week,5,Ingles,199.0,Curtin University,22407
Finding YourCybersecurity CareerPath…,Principiante,2–5 hours per week,6,Ingles,199.0,University of Washington,19606
Applied Deep LearningCapstone Project…,Avanzado,2–4 hours per week,5,Ingles,99.0,IBM,8562
Enabling Technologies forData Science andAnalytics: The Internet……,Principiante,7–10 hours per week,5,Ingles,99.0,Columbia University,71424
Introduction toHyperledger SovereignIdentity Blockchain Solu……,Principiante,2–3 hours per week,7,Ingles,199.0,The Linux Foundation,45365
Creating Virtual Reality(VR) Apps…,Intermedio,5–7 hours per week,6,Ingles,99.0,"The University of California, San Diego",22661
Introduction to FinOps…,Principiante,1–2 hours per week,6,Ingles,169.0,The Linux Foundation,45365
Using GPUs to Scale andSpeed-up Deep Learning…,Intermedio,2–4 hours per week,5,Ingles,99.0,IBM,9451
Scripting andProgrammingFoundations…,Principiante,9–10 hours per week,8,Ingles,299.7,Western Governors University,45365
Advanced DatabaseQueries…,Intermedio,6–8 hours per week,5,Ingles,166.0,New York University,45365
Getting Started withUnreal Engine…,Principiante,3–4 hours per week,7,Ingles,199.0,Rochester Institute of Technology,45365
Data Science and AgileSystems for ProductManagement…,Intermedio,2–3 hours per week,4,Ingles,199.0,"The University of Maryland, College Park, University System of Maryland",45365
Software Construction:Object-Oriented Design…,Intermedio,8–10 hours per week,6,Ingles,125.0,University of British Columbia,23386
Análisis de datosempresariales con R…,Principiante,5–8 hours per week,4,Español,49.0,Universidades Anáhuac,45365
AI in Practice: Preparingfor AI…,Intermedio,3–5 hours per week,5,Ingles,249.0,Delft University of Technology,45365
Introducción a la Cienciade Datos con Python…,Principiante,6–8 hours per week,4,Español,49.0,Universidades Anáhuac,45365
Introducción a laprogramación en Java:escribiendo buen código…,Principiante,5–7 hours per week,5,Español,49.0,Universidad Carlos III de Madrid,14404
Automated SoftwareTesting: Model andState-based Testing…,Avanzado,3–5 hours per week,5,Ingles,99.0,Delft University of Technology,7272
4G Network Essentials…,Intermedio,3–4 hours per week,6,Ingles,49.0,IMT,16523
IoT System Architecture:Design and Evaluation…,Principiante,3–5 hours per week,3,Ingles,99.0,Waseda University,6032
IT Fundamentals forBusiness Professionals:Cybersecurity and socia……,Principiante,3–6 hours per week,3,Ingles,75.0,Universitat Politècnica de Valencia,10209
Introducción a laprogramación en C:Funciones y punteros…,Principiante,2–4 hours per week,4,Español,29.0,Universidad Autónoma de Madrid,5817
Real-Time BluetoothNetworks - Shape theWorld…,Intermedio,8–10 hours per week,7,Ingles,49.0,The University of Texas at Austin,26994
Introduction to MachineLearning…,Principiante,2–4 hours per week,5,Ingles,149.0,ITMO University,45365
Fundamentos de la VisiónArtificial con Watson yOpenCV…,Principiante,7–14 hours per week,14,Español,99.0,IBM,45365
Introduction to CloudFoundry and Cloud NativeSoftware Architecture…,Principiante,3–4 hours per week,14,Ingles,169.0,The Linux Foundation,24634
Introduction toManagement InformationSystems (MIS): A Surviv……,Intermedio,3–4 hours per week,6,Ingles,99.0,Universidad Carlos III de Madrid,39192
"Business Considerationsfor 5G, IoT and AI…",Principiante,1–2 hours per week,6,Ingles,199.0,The Linux Foundation,6701
Software DevelopmentCapstone Project…,Avanzado,8–10 hours per week,6,Ingles,300.0,University of British Columbia,13918
Analizando datos conPython…,Principiante,2–4 hours per week,5,Español,39.0,IBM,45365
Advanced DatabaseAdministration…,Intermedio,6–8 hours per week,5,Ingles,166.0,New York University,45365
Databases:Semistructured Data…,Principiante,8–10 hours per week,2,Ingles,50.0,Stanford University,45365
IT Fundamentals forBusiness Professionals:Programming…,Principiante,3–6 hours per week,4,Ingles,75.0,Universitat Politècnica de Valencia,13850
Introduction to DataStructures…,Intermedio,5–7 hours per week,11,Ingles,332.0,New York University,45365
Databases: OLAP andRecursion…,Principiante,8–10 hours per week,2,Ingles,50.0,Stanford University,45365
Becoming a HyperledgerAries Developer…,Principiante,2–3 hours per week,7,Ingles,199.0,The Linux Foundation,45365
Introduction to ONAP:Complete NetworkAutomation…,Principiante,1–2 hours per week,14,Ingles,169.0,The Linux Foundation,8285
Work with augmentedreality (AR) and the web…,Principiante,8–10 hours per week,8,Ingles,149.0,Curtin University,45365
Advanced Programmingin C++…,Intermedio,7–9 hours per week,8,Ingles,332.0,New York University,45365
Diseño de sistemas deinformación gerencialpara intranet con Micro……,Intermedio,6–10 hours per week,4,Español,49.0,Universidad del Rosario,9293
Gobernanza de datospersonales en la eradigital…,Avanzado,6–8 hours per week,4,Español,49.0,Pontificia Universidad Javeriana,45365
A System View ofCommunications: FromSignals to Packets (Part……,Principiante,4–6 hours per week,7,Ingles,60.0,The Hong Kong University of Science and Technology,34360
Simulation Neuroscience…,Avanzado,5–8 hours per week,6,Ingles,169.0,École polytechnique fédérale de Lausanne,12316
Diseño de Sistemas deinformación gerencialpara Internet con MySQ……,Intermedio,6–10 hours per week,4,Español,49.0,Universidad del Rosario,7036
AWS Developer:Optimizing on AWS…,Avanzado,3–4 hours per week,6,Ingles,149.0,Amazon Web Services,14878
iLabX – The InternetMasterclass…,Principiante,4–6 hours per week,8,Ingles,129.0,Technische Universität München,45365
"Introduction toContainers, Kubernetesand OpenShift…",Principiante,6–8 hours per week,6,Ingles,99.0,IBM,45365
Introducción a losSistemas de InformaciónGerencial (MIS): Una gu……,Intermedio,3–4 hours per week,6,Español,29.0,Universidad Carlos III de Madrid,45365
Introducción a laprogramación en C:Instrucciones de control……,Principiante,2–4 hours per week,4,Español,29.0,Universidad Autónoma de Madrid,5847
Fundamentos TIC paraprofesionales denegocios: Programación…,Principiante,3–6 hours per week,4,Español,75.0,Universitat Politècnica de Valencia,7977
Data Mining: Theoriesand Algorithms forTackling Big Data | 数据挖掘：理……,Avanzado,3–5 hours per week,14,Chino,149.0,Tsinghua University,12527
"Unix Tools: Data,Software and ProductionEngineering…",Intermedio,4–6 hours per week,6,Ingles,50.0,Delft University of Technology,45365
"Human-ComputerInteraction II: Cognition,Context & Culture…",Principiante,5–6 hours per week,6,Ingles,99.0,The Georgia Institute of Technology,45365
Creación musical conSoundcool: Introducción…,Principiante,4–5 hours per week,5,Español,30.0,Universitat Politècnica de Valencia,45365
Open Source and the 5GTransition…,Principiante,1–2 hours per week,6,Ingles,199.0,The Linux Foundation,45365
How Virtual RealityWorks…,Principiante,5–7 hours per week,6,Ingles,99.0,"The University of California, San Diego",24451
Software Construction:Data Abstraction…,Principiante,8–10 hours per week,6,Ingles,125.0,University of British Columbia,18929
IT Fundamentals forBusiness Professionals:Enterprise Systems…,Principiante,3–6 hours per week,4,Ingles,75.0,Universitat Politècnica de Valencia,25525
Amazon DynamoDB:Building NoSQLDatabase-Driven Applic……,Intermedio,2–5 hours per week,4,Ingles,99.0,Amazon Web Services,5092
Health Informatics: Dataand InteroperabilityStandards…,Principiante,10–11 hours per week,5,Ingles,99.0,The Georgia Institute of Technology,45365
Aplicaciones de IA conWatson…,Intermedio,2–3 hours per week,3,Español,99.0,IBM,45365
Procedural Modelling…,Principiante,4–6 hours per week,5,Ingles,149.0,The National University of Singapore,45365
Data Structures andAlgorithm Design Part I |数据结构与算法设计(上)…,Intermedio,3–7 hours per week,8,Chino,49.0,Tsinghua University,15908
Programming forEveryone – AnIntroduction to Visual Pr……,Principiante,2–3 hours per week,8,Ingles,49.0,IsraelX,6608
Programming ReactiveSystems…,Intermedio,5–7 hours per week,9,Ingles,199.0,École polytechnique fédérale de Lausanne,8768
IT Fundamentals forBusiness Professionals:Software development…,Principiante,3–6 hours per week,3,Ingles,75.0,Universitat Politècnica de Valencia,12891
Health Informatics: ACurrent and HistoricalPerspective…,Principiante,10–11 hours per week,5,Ingles,99.0,The Georgia Institute of Technology,45365
Building Modern PythonApplications on AWS…,Principiante,1–4 hours per week,6,Ingles,169.0,Amazon Web Services,45365
Developing Cloud NativeApplications…,Intermedio,3–4 hours per week,4,Ingles,49.0,IBM,45365
Data Science Ethics…,Principiante,3–4 hours per week,4,Ingles,49.0,The University of Michigan,16254
Business Considerationsfor Edge Computing…,Principiante,1–2 hours per week,7,Ingles,149.0,The Linux Foundation,45365
Jump Start: NetworkSecurity…,Principiante,1–40 hours per week,4,Ingles,149.0,Check Point Software Technologies Ltd.,45365
IT Fundamentals forBusiness Professionals:Hardware…,Principiante,3–6 hours per week,4,Ingles,75.0,Universitat Politècnica de Valencia,15435
Bias and Discriminationin AI…,Intermedio,4–6 hours per week,4,Ingles,149.0,Université de Montréal,45365
"Unreal Engine Interactive3D: Blueprints, Animation,Audio, & Environments…",Principiante,3–4 hours per week,6,Ingles,199.0,Rochester Institute of Technology,45365
LAFF-On Programmingfor High Performance…,Intermedio,4–6 hours per week,5,Ingles,49.0,The University of Texas at Austin,45365
Visualizando datos conPython…,Intermedio,2–4 hours per week,5,Español,39.0,IBM,45365
Principles of ElectricCircuits | 电路原理…,Intermedio,3–9 hours per week,18,Ingles,139.0,Tsinghua University,37268
"Human-ComputerInteraction IV: Evaluation,Agile Methods & Beyond…",Principiante,5–6 hours per week,6,Ingles,99.0,The Georgia Institute of Technology,45365
Introducción a la visiónpor computador:desarrollo de aplicacion……,Intermedio,3–4 hours per week,4,Español,29.0,Universidad Carlos III de Madrid,17797
Health Informatics: TheCutting Edge…,Principiante,10–11 hours per week,5,Ingles,99.0,The Georgia Institute of Technology,45365
Information Security -Authentication andAccess Control…,Intermedio,7–9 hours per week,6,Ingles,166.0,New York University,45365
Fundamentos TIC paraprofesionales denegocios: Aplicaciones……,Principiante,3–6 hours per week,4,Español,75.0,Universitat Politècnica de Valencia,10117
"Human-ComputerInteraction III: Ethics,Needfinding & Prototypi……",Principiante,5–6 hours per week,6,Ingles,99.0,The Georgia Institute of Technology,45365
Building MicroservicePlatforms with TARS…,Principiante,1–3 hours per week,7,Ingles,199.0,The Linux Foundation,45365
Hyperledger Sawtooth forApplication Developers…,Intermedio,1–2 hours per week,14,Ingles,169.0,The Linux Foundation,45365
Soundcool: Módulos devídeo y propuestascreativas…,Principiante,4–5 hours per week,5,Español,55.0,Universitat Politècnica de Valencia,45365
The Next Generation ofInfrastructure…,Intermedio,6–8 hours per week,7,Ingles,50.0,Delft University of Technology,22653
Introduction to ServiceMesh with Linkerd…,Principiante,3–5 hours per week,10,Ingles,149.0,The Linux Foundation,45365
Data Storage andProcessing…,Principiante,2–4 hours per week,5,Ingles,149.0,ITMO University,45365
Building Modern JavaApplications on AWS…,Principiante,1–4 hours per week,6,Ingles,169.0,Amazon Web Services,45365
Unreal Engine Interactive3D:Sequencer-Cinematogr……,Principiante,3–4 hours per week,6,Ingles,199.0,Rochester Institute of Technology,45365
A System View ofCommunications: FromSignals to Packets (Part……,Principiante,4–6 hours per week,6,Ingles,50.0,The Hong Kong University of Science and Technology,12681
Building Modern NodejsApplications on AWS…,Principiante,1–4 hours per week,6,Ingles,169.0,Amazon Web Services,45365
Big Data MachineLearning | 大数据机器学习…,Principiante,3–5 hours per week,16,Chino,149.0,Tsinghua University,45365
The Multi-scale brain…,Avanzado,4–6 hours per week,7,Ingles,139.0,École polytechnique fédérale de Lausanne,45365
Mobile Payment Security…,Avanzado,3–5 hours per week,4,Ingles,399.0,New York University,45365
A System View ofCommunications: FromSignals to Packets (Part……,Principiante,4–6 hours per week,5,Ingles,50.0,The Hong Kong University of Science and Technology,11021
计算几何 | ComputationalGeometry…,Avanzado,6–8 hours per week,16,Chino,49.0,Tsinghua University,8803
The Software ArchitectCode: Building the DigitalWorld…,Principiante,2–3 hours per week,8,Ingles,129.0,Universidad Carlos III de Madrid,16729
Performative Modelling…,Avanzado,4–6 hours per week,5,Ingles,149.0,The National University of Singapore,45365
Fundamentos TIC paraprofesionales denegocios: Hardware…,Principiante,3–6 hours per week,4,Español,75.0,Universitat Politècnica de Valencia,7077
Semantic Modelling…,Intermedio,4–6 hours per week,5,Ingles,149.0,The National University of Singapore,45365
Information Security -Advanced topics…,Intermedio,8–10 hours per week,5,Ingles,166.0,New York University,45365
Fundamentos TIC paraprofesionales denegocios: Desarrollo de……,Principiante,3–6 hours per week,3,Español,75.0,Universitat Politècnica de Valencia,5899
Introduction àl'expérience utilisateur…,Intermedio,6–7 hours per week,4,Frances,200.0,HEC Montréal,45365
Generative Modelling…,Avanzado,4–6 hours per week,5,Ingles,149.0,The National University of Singapore,45365
"Secure SoftwareDevelopment:Requirements, Design, a……",Principiante,1–2 hours per week,7,Ingles,199.0,The Linux Foundation,45365
プログラミングしながら学ぶコンピュータサイエンス入門 :Introduction to ComputerScience and Programmi……,Principiante,2–3 hours per week,4,Japones,49.0,Tokyo Institute of Technology,45365
Aplicaciones de la Teoríade Grafos a la vida real II…,Principiante,3–4 hours per week,4,Español,49.0,Universitat Politècnica de Valencia,5237
Ciencia de datos yaprendizaje automático -Curso Capstone…,Intermedio,3–4 hours per week,6,Español,99.0,IBM,45365
NFV Acceleration: AnIntroduction to OPNFV…,Principiante,1–2 hours per week,14,Ingles,149.0,The Linux Foundation,45365
Introduzioneall'informatica…,Principiante,4–6 hours per week,6,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
Programmazione I…,Principiante,6–8 hours per week,7,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
Analisi dei dati…,Principiante,4–6 hours per week,6,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
Advanced Big DataSystems | 高级大数据系统…,Principiante,3–5 hours per week,16,Chino,149.0,Tsinghua University,45365
Data Science: A New Wayof Thinking | 数据科学导论…,Principiante,3–5 hours per week,16,Chino,149.0,Tsinghua University,45365
Jump Start: MaestroHyperscale NetworkSecurity…,Intermedio,1–6 hours per week,6,Ingles,149.0,Check Point Software Technologies Ltd.,45365
Enterprise SoftwareLifecycle Management…,Principiante,2–3 hours per week,6,Ingles,49.0,National Research Nuclear University,5096
Secure SoftwareDevelopment:Implementation…,Principiante,1–2 hours per week,7,Ingles,199.0,The Linux Foundation,45365
Web ApplicationTechnologies and Django…,Intermedio,2–4 hours per week,5,Ingles,49.0,The University of Michigan,45365
Secure SoftwareDevelopment:Verification and More S……,Principiante,1–2 hours per week,7,Ingles,199.0,The Linux Foundation,45365
Basi di dati…,Principiante,4–6 hours per week,6,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
Data Structures andAlgorithm Design Part II |数据结构与算法设计(下)…,Intermedio,3–7 hours per week,8,Chino,49.0,Tsinghua University,45365
Building WebApplications in Django…,Intermedio,2–4 hours per week,4,Ingles,49.0,The University of Michigan,45365
Jump Start:Small/Medium Business…,Intermedio,5–15 hours per week,5,Ingles,149.0,Check Point Software Technologies Ltd.,45365
Le robot Thymio commeoutil de découverte dessciences du numérique…,Principiante,4–6 hours per week,6,Frances,50.0,École polytechnique fédérale de Lausanne,45365
Big Data for Reliabilityand Security…,Intermedio,6–8 hours per week,8,Ingles,750.0,Purdue University,45365
Криптографическиеметоды защитыинформации…,Principiante,8–12 hours per week,6,Ruso,49.0,National Research Nuclear University,45365
Laboratorio diprogrammazione:strumenti e programmi…,Intermedio,8–10 hours per week,10,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
"Using JavaScript, JQuery,and JSON in Django…",Intermedio,2–4 hours per week,5,Ingles,49.0,The University of Michigan,45365
Introduction to AWSIdentity and AccessManagement…,Principiante,1–4 hours per week,4,Ingles,169.0,Amazon Web Services,45365
Основы квантовойкриптографии…,Principiante,10–22 hours per week,13,Ruso,49.0,National Research Nuclear University,45365
IBM Cloud Essentials…,Principiante,5–8 hours per week,5,Ingles,49.0,IBM,45365
Django Features andLibraries…,Intermedio,2–4 hours per week,6,Ingles,49.0,The University of Michigan,45365
Физические основыквантовой информатики…,Principiante,16–22 hours per week,10,Ruso,49.0,National Research Nuclear University,45365
Deep Learning andNeural Networks forFinancial Engineering…,Intermedio,4–6 hours per week,7,Ingles,799.0,New York University,45365
CoronavirusPowersearching…,Principiante,1–2 hours per week,2,Ingles,29.0,Google,45365
Classical MachineLearning for FinancialEngineering…,Intermedio,4–6 hours per week,7,Ingles,799.0,New York University,45365
Die digitale Welt mit demThymio Roboterentdecken…,Principiante,4–6 hours per week,6,Aleman,50.0,École polytechnique fédérale de Lausanne,45365
Introduction to ComputerScience andProgramming Using Pyt……,Principiante,14–16 hours per week,9,Ingles,75.0,Massachusetts Institute of Technology,1270419
CybersecurityFundamentals…,Avanzado,10–12 hours per week,8,Ingles,249.0,Rochester Institute of Technology,177871
Quantitative Methods forBiology…,Principiante,3–5 hours per week,10,Ingles,99.0,Harvard University,31109
Creative Coding…,Principiante,8–10 hours per week,14,Ingles,249.0,New York University,19833
Big Data Fundamentals…,Intermedio,8–10 hours per week,10,Ingles,199.0,University of Adelaide,40755
Word intermedio:herramientas de formatoy productividad…,Intermedio,4–5 hours per week,6,Español,50.0,Universitat Politècnica de Valencia,11130
Computer Forensics…,Avanzado,10–12 hours per week,8,Ingles,249.0,Rochester Institute of Technology,70052
IoT Sensors and Devices…,Principiante,4–6 hours per week,5,Ingles,199.0,Curtin University,33588
Computing for DataAnalysis…,Avanzado,8–10 hours per week,15,Ingles,825.0,The Georgia Institute of Technology,44354
Big Data Analytics UsingSpark…,Avanzado,9–12 hours per week,10,Ingles,350.0,"The University of California, San Diego",49661
Cybersecurity andPrivacy in the IoT…,Principiante,4–6 hours per week,5,Ingles,199.0,Curtin University,21790
IoT Programming and BigData…,Principiante,4–6 hours per week,5,Ingles,199.0,Curtin University,21841
Network Security…,Avanzado,10–12 hours per week,8,Ingles,249.0,Rochester Institute of Technology,61313
Big Data Analytics…,Intermedio,8–10 hours per week,10,Ingles,199.0,University of Adelaide,43302
Statistical Analysis inBioinformatics…,Avanzado,8–10 hours per week,8,Ingles,249.0,"University of Maryland Global Campus, University System of Maryland",25877
Developing CloudApplications with Node.jsand React…,Intermedio,2–3 hours per week,5,Ingles,99.0,IBM,45365
Cybersecurity RiskManagement…,Avanzado,10–12 hours per week,8,Ingles,249.0,Rochester Institute of Technology,35835
Introduction to JavaProgramming:Fundamental Data Struc……,Principiante,5–7 hours per week,5,Ingles,149.0,Universidad Carlos III de Madrid,35378
Software EngineeringEssentials…,Intermedio,5–7 hours per week,10,Ingles,49.0,Technische Universität München,20921
Introducción a laprogramación en Java:estructuras de datos y a……,Principiante,5–7 hours per week,5,Español,49.0,Universidad Carlos III de Madrid,14386
Driving Digital Innovationthrough Experimentation…,Avanzado,3–5 hours per week,6,Ingles,399.0,Boston University,17322
Applications of TinyML…,Intermedio,2–4 hours per week,5,Ingles,199.0,Harvard University,45365
Enterprise DataManagement…,Avanzado,8–10 hours per week,12,Ingles,499.0,Indiana University,11357
Deploying TinyML…,Intermedio,2–4 hours per week,5,Ingles,199.0,Harvard University,45365
Cloud ComputingEngineering andManagement…,Intermedio,8–10 hours per week,8,Ingles,299.0,"University of Maryland Global Campus, University System of Maryland",18384
Programming for DataScience…,Principiante,8–10 hours per week,10,Ingles,199.0,University of Adelaide,41582
UX Design…,Intermedio,6–9 hours per week,6,Ingles,299.0,HEC Montréal,45365
Network Security -Introduction to NetworkSecurity…,Intermedio,8–10 hours per week,5,Ingles,166.0,New York University,45365
Cloud Computing forEnterprises…,Intermedio,8–10 hours per week,8,Ingles,299.0,"University of Maryland Global Campus, University System of Maryland",27576
Discrete Time Signalsand Systems…,Avanzado,6–8 hours per week,8,Ingles,249.0,Rice University,26408
Deep Learning…,Avanzado,6–8 hours per week,4,Español,49.0,Universidades Anáhuac,45365
Cloud ComputingInfrastructure…,Intermedio,8–10 hours per week,8,Ingles,299.0,"University of Maryland Global Campus, University System of Maryland",20744
Modern ProductLeadership…,Principiante,2–3 hours per week,4,Ingles,199.0,"The University of Maryland, College Park, University System of Maryland",45365
Cybersecurity Capstone…,Avanzado,10–12 hours per week,8,Ingles,600.0,Rochester Institute of Technology,25222
Project: Create an iOSapp from start to finish…,Principiante,8–10 hours per week,6,Ingles,199.0,Curtin University,45365
Cloud ComputingSecurity…,Intermedio,8–10 hours per week,8,Ingles,299.0,"University of Maryland Global Campus, University System of Maryland",17803
Digital Technology andInnovation…,Principiante,8–10 hours per week,12,Ingles,499.0,Indiana University,45365
Penetration Testing -DiscoveringVulnerabilities…,Intermedio,8–10 hours per week,5,Ingles,166.0,New York University,45365
